Assignment,BIEN_Number,Family,Latin,TotalObsInBIEN,nameSubmitted,nameMatched,nameMatchedScore,nameMatchedAuthor,nameMatchedUrl,,,acceptance,genusMatched,genusMatchedScore,speciesMatched,Recent Name,Old name,Invasive,Non-native,NotRare(largeRangeOrHighAbundance),RecognizedAsRare,Unresolved,Comments
d,36856,Rubiaceae,Faramea polytriadophora,2,Rubiaceae Faramea polytriadophora,Faramea polytriadophora,1,Bremek.,http://www.tropicos.org/Name/27901071 ,,,Accepted,Faramea,1,polytriadophora,,,,,,Y,,
d,38520,Rubiaceae,Galium huancavelicum,1,Rubiaceae Galium huancavelicum,Galium huancavelicum,1,Dempster,http://www.tropicos.org/Name/27909746 ,,,Accepted,Galium,1,huancavelicum,,,,,,Y,,
d,46907,Rubiaceae,Ixora martinsii,1,Rubiaceae Ixora martinsii,Ixora martinsii,1,Standl.,http://www.tropicos.org/Name/50049248 ,,,Accepted,Ixora,1,martinsii,,,,,,Y,,
d,47327,Rubiaceae,Joosia standleyana,2,Rubiaceae Joosia standleyana,Joosia standleyana,1,Steyerm.,http://www.tropicos.org/Name/27911445 ,,,Accepted,Joosia,1,standleyana,,,,,,Y,,
d,76742,Rubiaceae,Psilanthus travancorensis,1,Rubiaceae Psilanthus travancorensis,Psilanthus travancorensis,1,J.-F. Leroy,http://www.tropicos.org/Name/50309573 ,,,No opinion,Psilanthus,1,travancorensis,,,,,,Y,,
d,87674,Rubiaceae,Sommera smithii,1,Rubiaceae Sommera smithii,Sommera smithii,1,Donn. Sm. & Standl.,http://www.tropicos.org/Name/27909578 ,,,No opinion,Sommera,1,smithii,,,,,,Y,,species name is actually donnell-smithii
d,84513,Sematophyllaceae,Sematophyllum aureoviride,3,Sematophyllaceae Sematophyllum aureoviride,Sematophyllum aureoviride,1,(MŸll. Hal.) Broth.,http://www.tropicos.org/Name/35181450 ,,,Accepted,Sematophyllum,1,aureoviride,,,,,,Y,,
d,85918,Simaroubaceae,Simaba morettii,1,Simaroubaceae Simaba morettii,Simaba morettii,1,Feuillet,http://www.tropicos.org/Name/50297266 ,,,Accepted,Simaba,1,morettii,,,,,,Y,,
d,18448,Solanaceae,Cestrum corcovadense,2,Solanaceae Cestrum corcovadense,Cestrum corcovadense,1,Miers,http://www.tropicos.org/Name/29602289 ,,,Accepted,Cestrum,1,corcovadense,,,,,,Y,,
d,52615,Solanaceae,Lycianthes grandifrons,3,Solanaceae Lycianthes grandifrons,Lycianthes grandifrons,1,Bitter,http://www.tropicos.org/Name/50110350 ,,,Accepted,Lycianthes,1,grandifrons,,,,,,Y,,
d,52691,Solanaceae,Lycium elongatum,1,Solanaceae Lycium elongatum,Lycium elongatum,1,Miers,http://www.tropicos.org/Name/29600011 ,,,Accepted,Lycium,1,elongatum,,,,,,Y,,
d,86962,Solanaceae,Solanum dolichocremastrum,1,Solanaceae Solanum dolichocremastrum,Solanum dolichocremastrum,1,Bitter,http://www.tropicos.org/Name/29600248 ,,,Accepted,Solanum,1,dolichocremastrum,,,,,,Y,,
d,87296,Solanaceae,Solanum perattenuatum,1,Solanaceae Solanum perattenuatum,Solanum perattenuatum,1,I.M. Johnst.,http://www.tropicos.org/Name/29603055 ,,,Accepted,Solanum,1,perattenuatum,,,,,,Y,,
d,92815,Thelypteridaceae,Thelypteris rioverdensis,1,Thelypteridaceae Thelypteris rioverdensis,Thelypteris rioverdensis,1,(C. Chr.) Ponce,http://www.tropicos.org/Name/50124991 ,,,Accepted,Thelypteris,1,rioverdensis,,,,,,Y,,
